textbox_11.text,STUDY_ID,Word14,WordB,reading.stopped,list,corf,practice_trials.thisN,condition,trials.thisN,right_im,feedback.started,practice_loop.thisIndex,debrief2.stopped,reading.started,key_resp_3.keys,key_resp.rt,feedback.stopped,RelFreq,psychopyVersion,pause_before_memory_task.started,key_resp_18.rt,pause_before_memory_task.stopped,key_resp_3.duration,key_resp_5.duration,key_resp_24.rt,key_resp_6.keys,trial_2.stopped,key_resp.corr,key_resp_10.corr,pause_before_memory_task_2.stopped,Binomial,trials.thisRepN,trials.thisTrialN,key_resp_19.rt,left_im,PrimeType,key_resp_19.duration,demo_other_langs_2.started,trial.started,Prime,textbox_13.text,Sentence,audio_loop.thisTrialN,textbox.text,textbox_2.text,instructions_rotation.started,key_resp_20.keys,key_resp_8.keys,the_end.stopped,trials_2.thisRepN,corj,angle,OS,same,counterbalance,GenPref,Questions,mirrored_key,textbox_10.text,practice_loop.thisTrialN,trials_2.thisN,key_resp_7.corr,key_resp_23.keys,wait_before_starting.stopped,Word5,Word4,key_resp_18.keys,Intructions_2.started,textbox_9.text,practice_trials.thisRepN,debrief2.started,audio_loop.thisN,practice_trials.ran,PROLIFIC_PID,the_end.started,consent_resp_2.rt,consent_resp_2.keys,List,Word16,audio_loop.ran,CorrAns,practice_loop.thisN,demo_age_2.started,key_resp_21.keys,type,trial_2.started,trial_no_audio.started,practice_trials.thisIndex,trials.thisIndex,key_resp_23.rt,Word7,Word0,trials.ran,__session,Word8,trial.stopped,rightori,fixation_cross.started,debrief1.started,demo_age_2.stopped,key_resp_22.rt,Word6,Word10,demographic_questions_2.started,WordA,practice_trials.thisTrialN,feedback_2.started,Word3,key_resp_10.rt,prime_freq,counterbalance_setup.started,feedback_no_audio.started,demo_place_of_birth_2.started,comprehension.started,debrief1.stopped,Instructions_4.started,Word9,Answer,practice_loop.thisRepN,Word15,key_resp_8.rt,demographic_questions_2.stopped,key_resp_4.corr,pause_before_memory_task_2.started,Condition,__datetime,feedback_no_audio.stopped,date,Word13,Word1,demo_native_lang_2.started,SESSION_ID,trials_2.ran,target_freq,demo_native_lang_2.stopped,key_resp_7.keys,audio,key_resp_19.keys,Word11,practice_loop.ran,Word12,key_resp_4.rt,not_mirrored_key,instr_key_1.keys,leftori,comprehension.stopped,key_resp_21.rt,participant,instr_key_1.rt,instructions_rotation.stopped,key_resp_4.keys,feedback_2.stopped,expName,key_resp_5.rt,demo_other_langs_2.stopped,consent_2.stopped,demo_place_of_birth_2.stopped,key_resp_7.rt,key_resp_24.keys,fixation_cross.stopped,session,Intructions_1.stopped,Instructions_3.stopped,Item,key_resp_22.keys,Word2,instructions_final.started,SentenceType,trials_2.thisIndex,frameRate,audio_loop.thisRepN,__participant,key_resp_6.rt,key_resp.keys,counterbalance_setup.stopped,instructions_final.stopped,key_resp_5.keys,audio_loop.thisIndex,trial_no_audio.stopped,key_resp_3.rt,key_resp_20.rt,wait_before_starting.started,trials_2.thisTrialN,key_resp_10.keys,Instructions_4.stopped,consent_2.started,__experimentName,Intructions_2.stopped,Intructions_1.started,Instructions_3.started
﻿,67ec910001675b3ed2ca68d9,,,,,,,,,,,,,,,,,,2023.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,1,,,f,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,,,,moving word,,,,,,,,,001,,,,,,,,,,,,,,,,,0.00020000000298026066,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,j,,,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,0.0004000000059605213,,,,,,,,,,,,NoisyChannelLearning_PilotExp2,,,
﻿na,67ec910001675b3ed2ca68d9,,,,,,,,,,,,,,,,,,2023.2.1,,3.6915999999940396,,,,,,,,,,,,,7.467499999999998,,,,16.146099999994043,,,us,,,,,,return,,,,,,Win32,,,,,,english,,,,,,,,space,,27,,,,,67ea50cb1cc5e59473a47d51,,1.7313000000119203,space,,,,,,5.524400000005961,return,moving word,,,,,,,,,001,,,,,,13.028099999994044,1.9606999999880799,,,1.8065999999940416,,,,,,,,,21.298200000002986,,,,,,,,,5.524200000002981,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,13.028400000005963,67ec97c94fdeb4da1eff7fd3,,,16.145900000005966,,,return,,,,,,f,,,5.127799999997023,67ea50cb1cc5e59473a47d51,46.06740000000597,,,,NoisyChannelLearning,,21.297900000005967,1.8064000000059615,23.282000000000004,,,,001,69.3645,,,return,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,3.0902999999970255,,,,,0.0024000000059629656,NoisyChannelLearning_PilotExp2,,23.282400000005964,
﻿,67ec910001675b3ed2ca68d9,,,,,,,,,,,,,,,,,,2023.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,,,,,,,,,,,,,,69.36470000000298,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,,,,moving word,,,,,,,,,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,,,,,,NoisyChannelLearning_PilotExp2,117.36590000000596,,
﻿,67ec910001675b3ed2ca68d9,,,,,,,,,,,,,,,,,,2023.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,117.366,,f,,,,,Win32,,,,,,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,,,,moving word,,,,,,,,,001,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7280000000000086,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,119.11629999999703,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,,,,F.png,,,,,,,,,2023.2.1,,,,,,,,,,1,,,,,,F.png,,,,,,,,,,,,,,,0,f,45,Win32,n,,,,,,,0,,,119.36629999999703,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,,119.36640000000595,,,,,,,001,,,45,,,,,,,,,,,,4.584000000000003,,,124.018700000003,,,,,,,,,,,,,,2025-04-01_21h50.12.280,125.018700000003,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,1,,,,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,2,59.88023952095548,,PARTICIPANT,,,,,,,124.01840000000597,,,119.12150000000001,0,j,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,f,,,,FR.png,,,,,,,,,2023.2.1,,,,,,,,,,1,,,,,,F.png,,,,,,,,,,,,,,,0,j,0,Win32,y,,,,,,,1,,,125.26840000000597,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,f,,,,moving word,,125.26840000000597,,,,,,,001,,,0,,,,,,,,,,,,1.4528999999910752,,,126.75240000000598,,,,,,,,,,,,,,2025-04-01_21h50.12.280,127.75259999999405,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,1,,,,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,1,59.88023952095548,,PARTICIPANT,,,,,,,126.75229999999702,,,125.01929999999702,1,f,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,,,,F.png,,,,,,,,,2023.2.1,,,,,,,,,,1,,,,,,F.png,,,,,,,,,,,,,,,0,f,0,Win32,n,,,,,,,2,,,128.00279999999702,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,,128.00279999999702,,,,,,,001,,,0,,,,,,,,,,,,1.0660000000000025,,,129.103400000006,,,,,,,,,,,,,,2025-04-01_21h50.12.280,130.1035,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,1,,,,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,0,59.88023952095548,,PARTICIPANT,,,,,,,129.103400000006,,,127.753,2,j,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,,,,,,,,,,,,,,2023.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,,,,moving word,,,,,,,,,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,147.226799999997,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,,,,,,NoisyChannelLearning_PilotExp2,,,130.10379999999702
﻿,67ec910001675b3ed2ca68d9,,,,,,,,,,,,,,,,,,2023.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,,,,moving word,,,,,,,,,001,,,,,,,,,,,,,,,,,,,,,,147.22700000000003,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,,,,153.71249999999998,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,0,,,F.png,,,,,,,,,2023.2.1,,,,,,,return,160.66540000000595,,,155.07970000000296,,,,,F.png,,,,,,,,,,,,,,,,f,45,Win32,n,,,,,,,,1,,155.32959999999406,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,155.32990000000598,,2,,,,,,001,,,45,,,,,,,,,0,160.6655,,,,,,,,,,,,,,,,,153.71509999999404,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,j,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,161.16520000000298,NoisyChannelLearning,,,,,5.260000000000019,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,1.343299999997015,,,,,,,,,155.08129999999704,,,,,NoisyChannelLearning_PilotExp2,,,
