textbox_11.text,STUDY_ID,Word14,WordB,reading.stopped,list,corf,practice_trials.thisN,condition,trials.thisN,right_im,feedback.started,practice_loop.thisIndex,debrief2.stopped,reading.started,key_resp_3.keys,key_resp.rt,feedback.stopped,RelFreq,psychopyVersion,pause_before_memory_task.started,key_resp_18.rt,pause_before_memory_task.stopped,key_resp_3.duration,key_resp_5.duration,key_resp_24.rt,key_resp_6.keys,trial_2.stopped,key_resp.corr,key_resp_10.corr,pause_before_memory_task_2.stopped,Binomial,trials.thisRepN,trials.thisTrialN,key_resp_19.rt,left_im,PrimeType,key_resp_19.duration,demo_other_langs_2.started,trial.started,Prime,textbox_13.text,Sentence,audio_loop.thisTrialN,textbox.text,textbox_2.text,instructions_rotation.started,key_resp_20.keys,key_resp_8.keys,the_end.stopped,trials_2.thisRepN,corj,angle,OS,same,counterbalance,GenPref,Questions,mirrored_key,textbox_10.text,practice_loop.thisTrialN,trials_2.thisN,key_resp_7.corr,key_resp_23.keys,wait_before_starting.stopped,Word5,Word4,key_resp_18.keys,Intructions_2.started,textbox_9.text,practice_trials.thisRepN,debrief2.started,audio_loop.thisN,practice_trials.ran,PROLIFIC_PID,the_end.started,consent_resp_2.rt,consent_resp_2.keys,List,Word16,audio_loop.ran,CorrAns,practice_loop.thisN,demo_age_2.started,key_resp_21.keys,type,trial_2.started,trial_no_audio.started,practice_trials.thisIndex,trials.thisIndex,key_resp_23.rt,Word7,Word0,trials.ran,__session,Word8,trial.stopped,rightori,fixation_cross.started,debrief1.started,demo_age_2.stopped,key_resp_22.rt,Word6,Word10,demographic_questions_2.started,WordA,practice_trials.thisTrialN,feedback_2.started,Word3,key_resp_10.rt,prime_freq,counterbalance_setup.started,feedback_no_audio.started,demo_place_of_birth_2.started,comprehension.started,debrief1.stopped,Instructions_4.started,Word9,Answer,practice_loop.thisRepN,Word15,key_resp_8.rt,demographic_questions_2.stopped,key_resp_4.corr,pause_before_memory_task_2.started,Condition,__datetime,feedback_no_audio.stopped,date,Word13,Word1,demo_native_lang_2.started,SESSION_ID,trials_2.ran,target_freq,demo_native_lang_2.stopped,key_resp_7.keys,audio,key_resp_19.keys,Word11,practice_loop.ran,Word12,key_resp_4.rt,not_mirrored_key,instr_key_1.keys,leftori,comprehension.stopped,key_resp_21.rt,participant,instr_key_1.rt,instructions_rotation.stopped,key_resp_4.keys,feedback_2.stopped,expName,key_resp_5.rt,demo_other_langs_2.stopped,consent_2.stopped,demo_place_of_birth_2.stopped,key_resp_7.rt,key_resp_24.keys,fixation_cross.stopped,session,Intructions_1.stopped,Instructions_3.stopped,Item,key_resp_22.keys,Word2,instructions_final.started,SentenceType,trials_2.thisIndex,frameRate,audio_loop.thisRepN,__participant,key_resp_6.rt,key_resp.keys,counterbalance_setup.stopped,instructions_final.stopped,key_resp_5.keys,audio_loop.thisIndex,trial_no_audio.stopped,key_resp_3.rt,key_resp_20.rt,wait_before_starting.started,trials_2.thisTrialN,key_resp_10.keys,Instructions_4.stopped,consent_2.started,__experimentName,Intructions_2.stopped,Intructions_1.started,Instructions_3.started
﻿,67ec910001675b3ed2ca68d9,,,,,f,1,,,FR.png,,,,,,,,,2023.2.1,,,,,,,,162.76590000000596,,,,,,,,F.png,,,,,,,,,,,,,,,,j,0,Win32,y,,,,,,,,1,,161.41520000000298,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,f,,,,moving word,161.41520000000298,,1,,,,,,001,,,0,,,,,,,,,1,162.76590000000596,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,f,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,163.26600000000002,NoisyChannelLearning,,,,,1.3160000000000025,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,161.16559999999407,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,173.33659999999406,practice,,,practice,,,,0,,164.26679999999703,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",,,,2023.2.1,,,,"[null,null,null,null,null,null,null,null,null,null,null,null]",,,,,,,,abashed and sorry,,,,,Prime (unrelated),,,,,,+ The woman was sorry and abashed when she realized her mistake.,,,,,,,,,,,Win32,,,,Did the woman realize her mistake?,,,0,,,,,0.3824999999999932,0.41640000000597865,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,0,,,moving word,,,,,,0.48290000000596933,4.398499999999984,,001,0.2992000000029691,,,163.26640000000594,,,,0.3824999999999932,0.3162999999970282,,,,,0.4160999999940316,,,,,,173.33690000000598,,,0.3323999999910825,,0,,,,0,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,0.6660999999940316,,67ec97c94fdeb4da1eff7fd3,,,,,audio/practice_sentence1.wav,,0.2990000000000066,1,,3.9870999999940295,,,,177.354700000003,,67ea50cb1cc5e59473a47d51,,,y,,NoisyChannelLearning,,,,,,,164.2665,001,,,3,,0.4825000000000159,,Sentence (nonalphabetical),,59.88023952095548,,PARTICIPANT,,,,,,,,"[4.377999999999986,5.060200000002965,5.561600000008923,5.999800000011902,6.438700000002967,6.832400000005947,7.237900000005965,7.727700000002983,8.053100000008925,8.400900000005947,8.729100000008941,9.053200000002988]",,,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,0,,,F.png,,,,,,,,,2023.2.1,,,,,,,return,180.62259999999407,,,178.72159999999405,,,,,F.png,,,,,,,,,,,,,,,,f,0,Win32,n,,,,,,,,1,,178.971700000003,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,178.971700000003,,0,,,,,,001,,,0,,,,,,,,,0,180.62270000000296,,,,,,,,,,,,,,,,,177.35529999999704,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,j,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,181.1225,NoisyChannelLearning,,,,,1.61009999999402,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,1.3445000000000107,,,,,,,,,178.72329999999704,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,1,,,F.png,,,,,,,,,2023.2.1,,,,,,,,183.00670000000298,,,,,,,,F.png,,,,,,,,,,,,,,,,f,45,Win32,n,,,,,,,,1,,181.37259999999407,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,181.37259999999407,,2,,,,,,001,,,45,,,,,,,,,1,183.00679999999704,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,j,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,183.50670000000298,NoisyChannelLearning,,,,,1.6132999999970252,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,181.12290000000598,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,f,2,,,FR.png,,,,,,,,,2023.2.1,,,,,,,,184.52390000000594,,,,,,,,F.png,,,,,,,,,,,,,,,,j,0,Win32,y,,,,,,,,1,,183.75690000000594,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,f,,,,moving word,183.75690000000594,,1,,,,,,001,,,0,,,,,,,,,2,184.52390000000594,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,f,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,185.024,NoisyChannelLearning,,,,,0.7330000000000041,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,183.50709999999407,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,0.3995000000000175,,194.461,practice,,,practice,,,,2,,186.02440000000598,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",,,,2023.2.1,,,,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,,,,,,,address and name,,,,,Prime (unrelated),,,,,,+ Mary needed the landlord's address and name before she could send her first rent check.,,,,,,,,,,,Win32,,,,Did the speaker wake up late?,,,1,,,,,0.4657000000029825,0.44929999999700954,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,1,,,moving word,,,,,,0.39939999999106135,1.849599999994041,,001,0.3994000000059543,,,185.02409999999406,,,,0.4162999999970225,0.3990000000000009,,,,,0.3994999999999891,,,,,,194.46109999999402,,,0.39959999999402385,,0,0.3663000000119325,,,0,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,0.29949999999999477,0.7495999999940466,,67ec97c94fdeb4da1eff7fd3,,,,,audio/practice_sentence3.wav,,0.3828999999910536,1,0.3664000000059673,4.950099999994052,,,,199.42940000000596,,67ea50cb1cc5e59473a47d51,,,n,,NoisyChannelLearning,,,,,,,186.02440000000598,001,,,7,,0.4327999999970302,,Sentence (alphabetical),,59.88023952095548,,PARTICIPANT,,,,,,,,"[1.8379999999999939,2.599299999997015,3.053100000008925,3.4666000000089525,3.9359000000059723,4.417000000000002,4.855600000008934,5.2757999999970195,5.689900000005963,6.0992000000029805,6.515500000000003,6.925000000000011,7.306400000005965,7.624799999997009,8.033900000005957,8.421100000008948]",,,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,0,,,F.png,,,,,,,,,2023.2.1,,,,,,,return,201.71359999999402,,,200.29649999999998,,,,,F.png,,,,,,,,,,,,,,,,f,45,Win32,n,,,,,,,,1,,200.54640000000597,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,200.54640000000597,,2,,,,,,001,,,45,,,,,,,,,0,201.71370000000297,,,,,,,,,,,,,,,,,199.42979999999704,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,j,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,202.21359999999402,NoisyChannelLearning,,,,,1.1282999999970116,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,0.8472999999970341,,,,,,,,,200.298,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,f,1,,,FR.png,,,,,,,,,2023.2.1,,,,,,,,203.53090000000594,,,,,,,,F.png,,,,,,,,,,,,,,,,j,0,Win32,y,,,,,,,,1,,202.463900000006,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,f,,,,moving word,202.463900000006,,1,,,,,,001,,,0,,,,,,,,,1,203.531,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,f,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,204.03129999999703,NoisyChannelLearning,,,,,1.0367999999970152,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,202.214,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,2,,,F.png,,,,,,,,,2023.2.1,,,,,,,,205.44840000000596,,,,,,,,F.png,,,,,,,,,,,,,,,,f,0,Win32,n,,,,,,,,1,,204.28109999999407,,,,,,0,,,1,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,204.28120000000297,,0,,,,,,001,,,0,,,,,,,,,2,205.44850000000002,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,j,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,205.94850000000002,NoisyChannelLearning,,,,,1.1307999999970093,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,,,,,,,,,204.03159999999406,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,0.38230000001192366,,214.50190000000595,practice,,,practice,,,,1,,206.94890000000595,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",,,,2023.2.1,,,,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,,,,,,,actresses and lumberjacks,,,,,Prime (unrelated),,,,,,+ The number of actresses and lumberjacks living in this neighborhood never ceases to surprise me.,,,,,,,,,,,Win32,,,,Did the number of waiters surprise the speaker?,,,2,,,,,0.36599999999998545,0.3661000000089416,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,2,,,moving word,,,,,,0.6153999999910411,1.3661999999880834,,001,0.3160000000000025,,,205.94850000000002,,,,0.2828999999910593,0.31609999999403726,,,,,0.41570000000297114,,,,,,214.50190000000595,,,0.316200000002965,,0,0.4327999999970302,,,0,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,0.382900000005975,0.5329000000059523,,67ec97c94fdeb4da1eff7fd3,,,,,audio/practice_sentence2.wav,,0.29939999999106703,1,0.38279999999701886,4.901900000005952,,,,219.42009999999402,,67ea50cb1cc5e59473a47d51,,,n,,NoisyChannelLearning,,,,,,,206.94879999999705,001,,,5,,0.5169000000059611,,Sentence (alphabetical),,59.88023952095548,,PARTICIPANT,,,,,,,,"[1.34939999999105,1.9008999999910543,2.4422999999970045,2.87409999999403,3.2549999999999955,3.6310000000000002,3.9359999999999786,4.567999999999984,4.900999999999982,5.2315999999940175,5.565399999991058,5.889299999997007,6.284999999999997,6.690999999999974,7.093099999994024,7.539099999994022]",,,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,,,,,,,,,,,,,,2023.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,,,,,moving word,,,,,,,,,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,219.4205,,,59.88023952095548,,PARTICIPANT,,,,220.58740000000597,,,,,,,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,,,0,F.png,223.18859999999404,,,,,1.504799999997033,223.68850000000003,,2023.2.1,220.59640000000599,,221.371200000003,,,,,,1,,,,0,0,,F.png,,,,221.62140000000596,,,,,,,,,,,,f,0,Win32,n,,,,,,,,,,221.62109999999404,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,,,,4,,,,1,001,,223.18840000000597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,0.7567999999970141,,,,,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,j,,,return,,,,,221.37409999999403,,,,,NoisyChannelLearning_PilotExp2,,,
﻿,67ec910001675b3ed2ca68d9,,,,,j,,,1,FR.png,225.15570000000298,,,,,1.1597000000029993,225.65579999999704,,2023.2.1,,,,,,,,,1,,,,0,1,,FR.png,,,,223.93859999999404,,,,,,,,,,,,f,0,Win32,n,,,,,,,,,,223.93840000000597,,,,,,,,,,67ea50cb1cc5e59473a47d51,,,,,,,j,,,,moving word,,,,28,,,,1,001,,225.15559999999402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01_21h50.12.280,,2025-04-01_21h50.29.362,,,,67ec97c94fdeb4da1eff7fd3,,,,,,,,,,,,,0,,,67ea50cb1cc5e59473a47d51,,,,,NoisyChannelLearning,,,,,,,,001,,,,,,,,,59.88023952095548,,PARTICIPANT,,j,,,,,,,,223.68900000000002,,,,,NoisyChannelLearning_PilotExp2,,,
